"","trip.no","area.id","date","grid.id","trap.id","observer","fate","tag.left","tag.right","species","sex","weight","length","notch","repro.stat","died","trap.note","valley","grid","month","year","day.ord"
"13897",19,"P+",2004-05-26,"MR1","E6","Heyward","RECAP","4225","1471","Rat","",NA,NA,"","","","Right Tag changed from 4857 to 1471 (26/05/2004).","hol","hol MR1","May",2004,5
"13898",19,"P+",2004-05-26,"MR1","E8","Heyward","RECAP","4816","4817","Rat","",NA,NA,"","","","","hol","hol MR1","May",2004,5
"13900",19,"P+",2004-05-26,"MR1","H4","Heyward","RECAP","4220","4705","Rat","",NA,NA,"","","","Right Tag changed from 4852 to 4705 (26/05/2004).","hol","hol MR1","May",2004,5
"13904",19,"P+",2004-05-26,"R2","H9","Heyward","NEW","4874","4875","Rat","F",33,105,"","Juv","","Tail = 115mm","hol","hol R2","May",2004,5
"13994",20,"P+",2004-08-15,"MR1","E2","Heyward","RECAP","4721","0","Rat","F",54,125,"","Juv","","Nowhere on other ear to tag!","hol","hol MR1","Aug",2004,1
"13999",20,"P+",2004-08-15,"MR1","I5","Heyward","OLD","4220","4705","Rat","M",102,150,"","Adult","","","hol","hol MR1","Aug",2004,1
"14004",20,"P+",2004-08-15,"R2","C8","Ruscoe","NEW","4241","0","Rat","F",96,160,"","Adult","","180 Tail","hol","hol R2","Aug",2004,1
"14015",20,"P+",2004-08-16,"MR1","C3","Ruscoe","OLD","4225","1471","Rat","M",50,152,"","Juv","","120 Tail - 3rd tag in L ear - 6mon+","hol","hol MR1","Aug",2004,2
"14022",20,"P+",2004-08-16,"MR1","F9","Heyward","OLD","4274","4280","Rat","M",53,140,"","Adult","","135 tail","hol","hol MR1","Aug",2004,2
"14062",20,"P+",2004-08-17,"MR1","C7","Ruscoe","RECAP","4225","1471","Rat","M",NA,NA,"","Juv","","","hol","hol MR1","Aug",2004,3
"14063",20,"P+",2004-08-17,"MR1","C9","Ruscoe","OLD","4189","4273","Rat","M",54,135,"","Adult","","tail 135","hol","hol MR1","Aug",2004,3
"14066",20,"P+",2004-08-17,"MR1","E7","Ruscoe","OLD","4816","4817","Rat","M",59,135,"","Juv","","125 tail","hol","hol MR1","Aug",2004,3
"14067",20,"P+",2004-08-17,"MR1","E9","Ruscoe","OLD","4180","4191","Rat","M",46,130,"","Adult","","tail 130","hol","hol MR1","Aug",2004,3
"14071",20,"P+",2004-08-17,"MR1","F9","Heyward","RECAP","4274","4280","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2004,3
"14074",20,"P+",2004-08-17,"MR1","G9","Heyward","NEW","4257","4866","Rat","F",52,130,"","Adult","","Tail 125","hol","hol MR1","Aug",2004,3
"14079",20,"P+",2004-08-17,"MR1","I5","Heyward","RECAP","4220","4705","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2004,3
"14080",20,"P+",2004-08-17,"MR1","I7","Heyward","NEW","4865","4867","Rat","M",100,160,"","Adult","","","hol","hol MR1","Aug",2004,3
"14094",20,"P+",2004-08-17,"R2","E4","Heyward","OLD","1022","1073","Rat","F",108,165,"","Adult","y","Dead in possum trap","hol","hol R2","Aug",2004,3
"14107",20,"P+",2004-08-18,"MR1","A1","Ruscoe","RECAP","4180","4191","Rat","M",47,130,"","Adult","","","hol","hol MR1","Aug",2004,4
"14108",20,"P+",2004-08-18,"MR1","B5","Ruscoe","OLD","1527","4242","Rat","M",56,135,"","Juv","","Tail 130","hol","hol MR1","Aug",2004,4
"14111",20,"P+",2004-08-18,"MR1","E1","Ruscoe","NEW","4258","4283","Rat","M",52,135,"","Adult","","Tail 125","hol","hol MR1","Aug",2004,4
"14112",20,"P+",2004-08-18,"MR1","E2","Ruscoe","NEW","4721","0","Rat","F",47,130,"","Adult","","Tail 120 - Lost 4 tags already. Therefore at least 9 months old.","hol","hol MR1","Aug",2004,4
"14113",20,"P+",2004-08-18,"MR1","E5","Heyward","RECAP","4225","1471","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2004,4
"14114",20,"P+",2004-08-18,"MR1","E9","Heyward","RECAP","4274","4280","Rat","",NA,NA,"","","y","DOA","hol","hol MR1","Aug",2004,4
"14115",20,"P+",2004-08-18,"MR1","F9","Heyward","RECAP","4816","4817","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2004,4
"14123",20,"P+",2004-08-18,"MR1","H9","Heyward","RECAP","4865","4867","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2004,4
